s,intensity
10,45.9445
9.89949,0.428294
9.84886,0.720954
9.89949,0.0487792
9.94987,59.1207
9.69536,5.83169
9.53939,85.2496
9.48683,6.85781
9.53939,73.2459
9.69536,5.18117
9.94987,57.4342
9.69536,0.108328
9.43398,0.246688
9.27362,0.0997819
9.21954,0.290206
9.27362,0.0226768
9.43398,0.276344
9.69536,0.188158
9.89949,5.26535
9.53939,79.2377
9.27362,9.02348
9.11043,121.244
9.05539,10.0733
9.11043,130.87
9.27362,7.6555
9.53939,82.4584
9.89949,3.92043
9.89949,5.26535
9.53939,79.2377
9.27362,9.02348
9.11043,121.244
9.05539,10.0733
9.11043,130.87
9.27362,7.6555
9.53939,82.4584
9.89949,3.92043
9.69536,0.108328
9.43398,0.246688
9.27362,0.0997819
9.21954,0.290206
9.27362,0.0226768
9.43398,0.276344
9.69536,0.188158
9.94987,59.1207
9.69536,5.83169
9.53939,85.2496
9.48683,6.85781
9.53939,73.2459
9.69536,5.18117
9.94987,57.4342
9.89949,0.428294
9.84886,0.720954
9.89949,0.0487792
10,52.8983
9.89949,1.02521
9.64365,0.078204
9.48683,1.53465
9.43398,0.121714
9.48683,1.55779
9.64365,0.0742415
9.89949,1.0452
9.79796,61.8761
9.43398,6.36681
9.16515,123.531
9,8.62161
8.94427,147.497
9,8.06599
9.16515,111.779
9.43398,4.95964
9.79796,66.4997
9.89949,0.361012
9.43398,0.220949
9.05539,0.89446
8.77496,0.573454
8.60233,1.21439
8.544,0.466465
8.60233,1.16514
8.77496,0.0614458
9.05539,0.874249
9.43398,0.367128
9.89949,0.383785
9.64365,5.52937
9.16515,132.314
8.77496,11.6597
8.48528,183.586
8.30662,16.7108
8.24621,248.154
8.30662,14.4319
8.48528,262.882
8.77496,8.89066
9.16515,115.072
9.64365,3.76314
9.48683,0.0683207
9,0.28436
8.60233,0.0813219
8.30662,1.07309
8.12404,0.238119
8.06226,5.58752
8.12404,0.287549
8.30662,0.00850128
8.60233,0.106612
9,0.879525
9.48683,0.0595798
10,51.0272
9.43398,7.17929
8.94427,122.551
8.544,14.302
8.24621,323.777
8.06226,18.6234
8,354.899
8.06226,18.625
8.24621,202.324
8.544,11.332
8.94427,156.712
9.43398,4.43889
10,59.7606
9.48683,0.0683207
9,0.28436
8.60233,0.0813219
8.30662,1.07309
8.12404,0.238119
8.06226,5.58752
8.12404,0.287549
8.30662,0.00850128
8.60233,0.106612
9,0.879525
9.48683,0.0595798
9.64365,5.52937
9.16515,132.314
8.77496,11.6597
8.48528,183.586
8.30662,16.7108
8.24621,248.154
8.30662,14.4319
8.48528,262.882
8.77496,8.89066
9.16515,115.072
9.64365,3.76314
9.89949,0.361012
9.43398,0.220949
9.05539,0.89446
8.77496,0.573454
8.60233,1.21439
8.544,0.466465
8.60233,1.16514
8.77496,0.0614458
9.05539,0.874249
9.43398,0.367128
9.89949,0.383785
9.79796,61.8761
9.43398,6.36681
9.16515,123.531
9,8.62161
8.94427,147.497
9,8.06599
9.16515,111.779
9.43398,4.95964
9.79796,66.4997
9.89949,1.02521
9.64365,0.078204
9.48683,1.53465
9.43398,0.121714
9.48683,1.55779
9.64365,0.0742415
9.89949,1.0452
10,52.8983
9.94987,59.9298
9.89949,2.63733
9.94987,57.2479
9.69536,0.410739
9.43398,2.46252
9.27362,0.739553
9.21954,2.85665
9.27362,0.203247
9.43398,2.3116
9.69536,0.0750518
9.94987,57.6695
9.48683,4.75623
9.11043,143.351
8.83176,8.18201
8.66025,154.851
8.60233,9.46779
8.66025,174.929
8.83176,6.59165
9.11043,149.762
9.48683,3.2818
9.94987,54.7469
9.48683,0.769945
9,1.60281
8.60233,0.269256
8.30662,2.56076
8.12404,0.814655
8.06226,3.63374
8.12404,6.19923
8.30662,3.06814
8.60233,0.0837612
9,1.52521
9.48683,0.196227
9.69536,4.37137
9.11043,119.941
8.60233,11.4971
