s,intensity
1,5698.81
1.0018,5611.04
1.0036,5454.95
1.0054,5341.87
1.0072,5228.02
1.009,5133.24
1.0108,4944.51
1.0126,4834.67
1.0144,4709.46
1.0162,4609.69
1.018,4480.69
1.0198,4322.47
1.0216,4197.89
1.0234,4124.87
1.02521,3957.96
1.02701,3850.58
1.02881,3705.32
1.03061,3647.16
1.03241,3521.33
1.03421,3365.65
1.03601,3304.68
1.03781,3259.99
1.03961,3109.66
1.04141,3011.29
1.04321,2945.98
1.04501,2859.94
1.04681,2802.92
1.04861,2715.42
1.05041,2631.31
1.05221,2586.83
1.05401,2558.16
1.05581,2511.4
1.05761,2410.85
1.05941,2424.41
1.06121,2412.73
1.06301,2352.64
1.06481,2292.87
1.06661,2307.32
1.06841,2356.24
1.07021,2285.38
1.07201,2263.53
1.07381,2335.92
1.07562,2345.14
1.07742,2298.79
1.07922,2374.08
1.08102,2367.94
1.08282,2371.94
1.08462,2463.12
1.08642,2458.01
1.08822,2521.34
1.09002,2505.28
1.09182,2588.68
1.09362,2612.98
1.09542,2705.99
1.09722,2734.72
1.09902,2774.57
1.10082,2842.48
1.10262,2874.21
1.10442,2961.61
1.10622,3049.54
1.10802,3049.02
1.10982,3129.43
1.11162,3176.58
1.11342,3288.79
1.11522,3343.83
1.11702,3422.23
1.11882,3455.55
1.12062,3471.99
1.12242,3539.21
1.12422,3647.12
1.12603,3712.83
1.12783,3732.36
1.12963,3794.6
1.13143,3809.49
1.13323,3853.65
1.13503,3970
1.13683,4009.75
1.13863,4063.97
1.14043,4034.34
1.14223,4084.31
1.14403,4169.85
1.14583,4138.28
1.14763,4239.41
1.14943,4229.94
1.15123,4257.52
1.15303,4256.33
1.15483,4248.93
1.15663,4304.51
1.15843,4372.68
1.16023,4311.57
1.16203,4286.3
1.16383,4336.82
1.16563,4372.89
1.16743,4307.68
1.16923,4351.19
1.17103,4328.28
1.17283,4338.23
1.17463,4310.5
1.17644,4314.92
1.17824,4324.52
1.18004,4265.29
1.18184,4280.22
1.18364,4285.04
1.18544,4262.37
1.18724,4267.39
1.18904,4221.24
1.19084,4203.12
1.19264,4206.5
1.19444,4182.7
1.19624,4165.84
1.19804,4141.01
1.19984,4131.01
1.20164,4080.66
1.20344,4082.17
1.20524,4096.33
1.20704,4057.15
1.20884,4051.45
1.21064,4021.99
1.21244,4000.77
1.21424,3988.76
1.21604,4043.36
1.21784,4000.47
1.21964,3969.18
1.22144,3932.05
1.22324,3984.3
1.22504,3986.93
1.22685,3958.17
1.22865,3956.3
1.23045,3960.08
1.23225,3985.29
1.23405,3963.83
1.23585,3961.03
1.23765,3983.76
1.23945,4007.69
1.24125,4034.78
1.24305,4001.33
1.24485,4029.56
1.24665,4066.5
1.24845,4083.04
1.25025,4101.29
1.25205,4158.2
1.25385,4142.05
1.25565,4151.19
1.25745,4203.46
1.25925,4255.13
1.26105,4275.07
1.26285,4305.67
1.26465,4322.27
1.26645,4333.45
1.26825,4413.85
1.27005,4442.44
1.27185,4452
1.27365,4497.8
1.27546,4524.98
1.27726,4553.79
1.27906,4591.46
1.28086,4633.88
1.28266,4656.86
1.28446,4693.19
1.28626,4724.24
1.28806,4737.65
1.28986,4774.86
1.29166,4809.18
1.29346,4837.25
1.29526,4854.3
1.29706,4877
1.29886,4870.48
1.30066,4933.32
1.30246,4933.23
1.30426,4943.83
1.30606,4958.08
1.30786,4980.85
1.30966,4947.04
1.31146,4967.66
1.31326,4977.45
1.31506,4989.02
1.31686,4983.53
1.31866,4968.24
1.32046,4937.61
1.32226,4938.93
1.32406,4949.51
1.32587,4916.55
1.32767,4906.02
1.32947,4896.62
1.33127,4858.84
1.33307,4806.66
1.33487,4798.34
1.33667,4749.69
1.33847,4734.03
1.34027,4710.14
1.34207,4637.21
1.34387,4594.29
1.34567,4570.1
1.34747,4504.74
1.34927,4445.5
1.35107,4422.68
1.35287,4382.15
1.35467,4292.1
1.35647,4242.53
1.35827,4195.99
1.36007,4141.23
1.36187,4070.67
1.36367,4011.28
1.36547,3934.94
1.36727,3914.94
1.36907,3854.72
1.37087,3775.44
1.37267,3709.85
1.37447,3655.69
1.37628,3615.78
1.37808,3541.89
1.37988,3495.49
1.38168,3428.12
1.38348,3349.8
1.38528,3313.08
1.38708,3257.13
1.38888,3181.76
1.39068,3151.09
1.39248,3085.49
1.39428,3041.96
1.39608,2964.17
1.39788,2930.43
1.39968,2926.87
1.40148,2826.32
1.40328,2797.47
1.40508,2758.13
1.40688,2737.58
1.40868,2707.71
1.41048,2644.13
1.41228,2600.07
1.41408,2603.17
1.41588,2576.34
1.41768,2547.75
1.41948,2523.94
1.42128,2502.2
1.42308,2499.02
1.42489,2478.29
1.42669,2467.51
1.42849,2432.39
1.43029,2412.47
1.43209,2446.3
1.43389,2445.21
1.43569,2405.95
1.43749,2424.25
1.43929,2415.88
1.44109,2424.43
1.44289,2456.52
1.44469,2397.69
1.44649,2441.95
1.44829,2448.12
1.45009,2449.13
1.45189,2468.36
1.45369,2478.12
1.45549,2493.07
1.45729,2504.89
1.45909,2501.04
1.46089,2522.51
1.46269,2540.58
1.46449,2563.35
1.46629,2585.34
1.46809,2588.75
1.46989,2591.67
1.47169,2619.3
1.47349,2637.36
1.4753,2645.7
1.4771,2668.71
1.4789,2671.09
1.4807,2691.54
1.4825,2715.73
1.4843,2706.36
1.4861,2747.83
1.4879,2736.61
1.4897,2741.11
1.4915,2758.49
1.4933,2762.91
1.4951,2780.13
1.4969,2800.34
1.4987,2780.77
1.5005,2781.22
1.5023,2788.58
1.5041,2779.47
1.5059,2787.49
1.5077,2791.35
1.5095,2781.67
1.5113,2794.12
1.5131,2766.28
1.5149,2760.99
1.5167,2754.9
1.5185,2730.62
1.5203,2703.44
1.5221,2730.64
1.5239,2727.4
1.52571,2683.24
1.52751,2664.91
1.52931,2631.05
1.53111,2636.7
1.53291,2601.65
1.53471,2584.26
1.53651,2570.19
1.53831,2531.97
1.54011,2515.8
1.54191,2505.66
1.54371,2472.15
1.54551,2425.96
